Business Intelligence,Informatik und Infrastruktur,Statistik und Mathematik
1.0,1.5,1.25
1.9166666666666667,1.6666666666666667,2.5
1.9166666666666667,2.6666666666666665,1.75
2.25,3.3333333333333335,3.0
1.0833333333333333,1.1666666666666667,1.0
1.0,1.5,1.5
1.5833333333333333,1.0,1.25
1.1666666666666667,1.1666666666666667,1.0
1.0,1.1666666666666667,1.0
2.5,2.6666666666666665,2.5
1.1666666666666667,1.6666666666666667,1.5
1.0833333333333333,1.8333333333333333,1.25
1.0,1.1666666666666667,1.0
3.5,3.3333333333333335,3.5
2.0833333333333335,2.6666666666666665,3.25
1.0,1.8333333333333333,1.75
2.1666666666666665,3.0,3.0
1.4166666666666667,1.6666666666666667,1.5
2.25,2.5,2.5
3.0,3.0,2.75
1.0,1.1666666666666667,1.0
1.4166666666666667,2.3333333333333335,2.5
1.25,1.0,1.0
1.3333333333333333,2.5,2.5
1.6666666666666667,1.6666666666666667,1.75
1.25,1.8333333333333333,1.0
2.0833333333333335,1.5,1.5
2.75,3.8333333333333335,3.25
1.1666666666666667,1.1666666666666667,1.0
1.75,2.3333333333333335,2.5
1.25,1.3333333333333333,1.0
2.4166666666666665,3.1666666666666665,2.75
2.4166666666666665,3.0,3.25
1.25,2.0,2.0
2.0,2.1666666666666665,2.75
1.1666666666666667,2.1666666666666665,1.0
1.1666666666666667,1.0,1.0
2.0,3.3333333333333335,2.75
1.4166666666666667,2.1666666666666665,2.0
3.0,3.5,2.75
1.1666666666666667,1.6666666666666667,1.5
1.0833333333333333,1.1666666666666667,1.0
1.0833333333333333,1.0,1.0
1.1666666666666667,2.5,2.5
3.5833333333333335,3.3333333333333335,3.5
1.0833333333333333,1.3333333333333333,1.0
1.3333333333333333,1.5,1.0
1.4166666666666667,1.6666666666666667,1.25
1.5,2.6666666666666665,1.75
1.0833333333333333,1.0,1.25
1.1666666666666667,1.0,1.25
1.3333333333333333,1.5,1.25
1.3333333333333333,2.3333333333333335,2.0
1.3333333333333333,1.8333333333333333,1.75
1.5,2.1666666666666665,2.25
1.75,2.6666666666666665,2.5
2.1666666666666665,1.3333333333333333,1.75
1.4166666666666667,1.5,1.75
1.5833333333333333,1.6666666666666667,1.25
2.1666666666666665,1.8333333333333333,1.75
1.4166666666666667,1.3333333333333333,1.25
1.3333333333333333,1.8333333333333333,1.0
1.4166666666666667,2.0,2.0
1.0,1.0,1.0
1.1666666666666667,1.6666666666666667,1.25
1.75,3.0,2.5
1.0833333333333333,1.1666666666666667,1.0
1.9166666666666667,3.6666666666666665,2.75
1.5833333333333333,2.0,1.75
1.5,2.1666666666666665,2.25
1.5833333333333333,1.3333333333333333,1.25
1.0833333333333333,1.5,1.5
1.8333333333333333,2.6666666666666665,2.75
2.25,3.1666666666666665,3.0
2.6666666666666665,2.6666666666666665,3.0
1.75,2.5,2.0
1.0833333333333333,1.3333333333333333,1.25
1.75,2.3333333333333335,2.25
2.0833333333333335,2.6666666666666665,2.0
2.25,2.0,2.25
3.1666666666666665,3.8333333333333335,3.5
1.25,2.1666666666666665,2.0
1.0833333333333333,2.5,1.5
2.3333333333333335,3.1666666666666665,2.5
1.6666666666666667,2.3333333333333335,2.25
1.0833333333333333,1.3333333333333333,1.0
1.0833333333333333,1.3333333333333333,1.25
1.1666666666666667,1.1666666666666667,1.0
1.1666666666666667,2.3333333333333335,1.0
2.5833333333333335,2.8333333333333335,2.5
1.0833333333333333,1.6666666666666667,1.5
1.6666666666666667,2.0,2.0
1.75,2.6666666666666665,1.5
3.1666666666666665,3.1666666666666665,3.0
2.25,2.6666666666666665,2.75
1.0,1.1666666666666667,1.0
1.4166666666666667,2.5,1.5
1.4166666666666667,2.5,1.75
3.6666666666666665,3.5,3.75
1.25,1.8333333333333333,1.75
1.3333333333333333,2.5,2.25
1.1666666666666667,1.3333333333333333,2.0
2.1666666666666665,1.6666666666666667,2.25
2.1666666666666665,1.1666666666666667,2.0
2.5,2.0,2.25
1.5,1.8333333333333333,2.0
1.5,1.6666666666666667,1.25
2.1666666666666665,2.1666666666666665,1.75
2.1666666666666665,2.8333333333333335,2.25
2.3333333333333335,3.3333333333333335,2.0
2.4166666666666665,2.5,3.25
1.75,2.3333333333333335,2.5
1.3333333333333333,1.6666666666666667,1.75
2.1666666666666665,2.1666666666666665,1.75
1.3333333333333333,2.3333333333333335,1.5
1.4166666666666667,3.0,2.75
1.5,1.8333333333333333,1.25
2.3333333333333335,2.3333333333333335,2.25
1.75,2.8333333333333335,2.5
1.75,2.3333333333333335,2.5
1.0833333333333333,1.5,1.0
1.1666666666666667,1.1666666666666667,1.0
1.0,1.6666666666666667,1.75
2.6666666666666665,2.6666666666666665,2.75
1.25,1.8333333333333333,1.25
1.0833333333333333,1.1666666666666667,1.0
1.75,3.1666666666666665,2.5
1.0,1.0,1.0
1.1666666666666667,1.3333333333333333,1.25
1.5833333333333333,2.1666666666666665,2.0
2.5,2.3333333333333335,2.75
1.0833333333333333,1.3333333333333333,1.0
1.3333333333333333,1.6666666666666667,1.5
1.6666666666666667,2.0,2.25
2.0,2.5,2.25
1.0,1.0,1.0
2.0833333333333335,3.1666666666666665,3.5
1.5833333333333333,2.3333333333333335,1.75
2.0833333333333335,2.3333333333333335,2.0
2.1666666666666665,2.0,2.25
1.0833333333333333,1.3333333333333333,1.25
1.3333333333333333,2.1666666666666665,1.0
1.5833333333333333,2.1666666666666665,2.25
1.5,1.3333333333333333,1.5
1.25,2.0,1.25
1.0833333333333333,1.6666666666666667,1.0
1.0833333333333333,1.1666666666666667,1.25
2.3333333333333335,2.3333333333333335,2.0
1.0833333333333333,1.5,1.0
1.0,1.6666666666666667,1.0
1.1666666666666667,1.1666666666666667,1.75
1.9166666666666667,1.5,2.0
2.25,2.8333333333333335,2.75
1.9166666666666667,1.8333333333333333,1.0
1.9166666666666667,2.1666666666666665,1.5
1.75,2.1666666666666665,1.0
1.0,1.5,1.0
2.8333333333333335,2.8333333333333335,2.5
1.9166666666666667,2.6666666666666665,2.0
1.1666666666666667,1.8333333333333333,1.0
3.25,3.6666666666666665,2.75
2.1666666666666665,3.0,2.5
1.5833333333333333,2.3333333333333335,2.25
1.0,1.0,1.0
1.0,1.3333333333333333,1.25
1.9166666666666667,2.5,2.25
2.1666666666666665,3.6666666666666665,3.5
1.75,2.8333333333333335,3.0
1.0,1.0,1.0
2.3333333333333335,2.8333333333333335,2.75
